date,year,month,Reservas Internacionales Netas RIN = RIB - OECP,Reservas Internacionales Brutas RIB,Obligaciones con el exterior a corto plazo OECP,Crédito Neto al Sector Público CNSP,Total,col_8,col_9,BASE MONETARIA BM,Billetes y Mo- nedas en Poder del Público C,MN,UFV,ME,TOTAL
2016-05-01,2016,5,80434841.971379,80435167.8213104,325.8499314,-18301957.266816635,5187740.3363206005,1398940.0874182002,3788800.2489024,58038480.4226818,33416416.574129995,20481868.43906,78362.20561300562,4061833.2038788013,24622063.848551806
2016-06-01,2016,6,79637660.3813308,79638128.078775,467.6974442,-16747772.520208973,5183011.744117601,1395072.1243726,3787939.6197450003,57272583.60480824,33582811.66214,19402300.328840002,78884.3678308336,4208587.245997401,23689771.942668237
2016-07-01,2016,7,79232441.79837002,79232449.91443601,8.116066,-18024699.47628753,5172443.4986542,1394127.8719894001,3778315.6266648,57778740.07233934,33834368.99063,19652391.980029996,79288.6291391415,4212690.472540201,23944371.081709336
2016-08-01,2016,8,77233518.73018041,77236996.73508841,3478.0049080000003,-16663921.395537145,5174829.684472,1395079.2928254001,3779750.3916466003,57714220.39191235,33461774.861239992,19953007.10365,79621.6075733567,4219816.819449001,24252445.530672356
2016-09-01,2016,9,75726330.94777521,75728289.26689881,1958.3191236,-15085995.156880133,5134384.4667688,1394744.1179748,3739640.348794,58538723.864955515,33518424.60337001,20704645.89835999,80141.34610310232,4235512.017122401,25020299.261585496
2016-10-01,2016,10,73362809.61576,73362816.1810544,6.5652944,-13282205.899796352,5328415.4647332,1532467.9061050003,3795947.5586281996,58494781.79564352,33970004.68557,20237380.125759996,80825.6199741203,4206571.3643394,24524777.110073518
2016-11-01,2016,11,71022361.1918982,71022368.9828002,7.790902000000001,-11924632.247010611,5416988.3127438,1621714.2475352,3795274.0652085994,57913366.44742693,33844037.02257999,19406739.946510006,80407.8531451383,4582181.6251918,24069329.424846943
2016-12-01,2016,12,69155386.2087564,69158211.11511621,2824.9063598000002,-5321267.392375469,5280739.6013034005,1610556.7081674,3670182.8931360003,63139495.371858165,37020091.50814999,21129861.599250007,80219.09108258011,4909323.173375601,26119403.86370819
2017-01-01,2017,1,67493198.1131002,67493215.9024522,17.789351999999997,-6411555.715038907,5062703.916163,1393612.4379318,3669091.4782312,58520639.442832105,35403390.80421,18780293.014269996,80478.6615539118,4256476.962798201,23117248.63862211
2017-02-01,2017,2,67261085.899707,67261099.4616526,13.561945600000001,-6040074.086473461,5155735.170693601,1487320.3978792,3668414.7728144,57957263.00420871,35129381.49099001,17999577.69710999,80689.86256330262,4747613.953545401,22827881.513218693
2017-03-01,2017,3,70389237.39858921,70391019.28743081,1781.8888416000002,-12531037.347315956,5178571.1466728,1510415.7588524001,3668155.3878204,55134025.09575858,34065441.40784,17061863.038020004,80956.4484527784,3925764.2014458007,21068583.68791858
2017-04-01,2017,4,68772835.6859726,68773599.0529154,763.3669428,-14018335.236645702,7222901.3711506,3555541.359255,3667360.0118956002,54027591.498366706,34439532.97722,15405464.480200002,82529.8321971014,4100064.2087496,19588058.521146704
2017-05-01,2017,5,70340240.16305159,70340254.297327,14.1342754,-14471898.039667662,6935907.9700746,3270155.7732742,3665752.1968003996,56458957.319403686,34087997.1773,16068657.39596,80795.1781280769,6221507.5680156015,22370960.14210368
2017-06-01,2017,6,70697392.7395596,70697828.2330082,435.4934486000001,-12802391.873709735,7273096.8652988,3608627.4949402,3664469.3703586003,58887261.7955468,34652794.311840005,18384683.01281,81129.5152135859,5768654.955683202,24234467.483706787
2017-07-01,2017,7,71054882.88287899,71055446.30716419,563.4242852,-12825424.93539036,6786424.5671198,3135436.9874847997,3650987.5796350003,58553422.85415209,34823178.59272,18033012.34126,81461.1546062898,5615770.7655658,23730244.26143209
2017-08-01,2017,8,71702033.85951059,71702338.1967564,304.3372458,-12367107.188315645,6985285.795689399,3335653.221064,3649632.5746253994,59464875.0183056,34665364.868080005,18388071.91776,81617.8234331973,6329820.409032401,24799510.1502256
2017-09-01,2017,9,69488690.2660286,69489155.6539166,465.38788800000003,-7751136.52821409,7025301.9552414,3416168.1164698,3609133.8387716,61844478.8270248,35234078.99687,20295512.323259998,82095.9306415908,6232791.576253201,26610399.83015479
2017-10-01,2017,10,68149599.51312098,68149861.84480318,262.3316822,-5656510.653178327,7030958.853677001,3427881.3007938,3603077.5528832003,63339808.31598985,35780888.70531999,20737804.62897001,82765.3292164562,6738349.652483401,27558919.610669866
2017-11-01,2017,11,72934289.08317159,72934429.9838672,140.9006956,-5968685.948722523,2399484.195487,3236116.9530464,-836632.7575594,63471131.45517735,36246258.379250005,20354943.941269998,83494.2914567582,6786434.843200602,27224873.075927358
2017-12-01,2017,12,70387965.2819728,70387973.9297574,8.6477846,3023461.3762339465,2506507.7740702005,3471293.7013006,-964785.9272303998,69565526.13536613,40370823.73932001,22515069.433449995,83905.02707770822,6595727.9355184,29194702.396046102
2018-01-01,2018,1,70150617.699673,70150634.0952788,16.395605800000002,736419.9407096282,333585.94049179996,1474893.1910642,-1141307.2505724,63930377.75670374,38657469.16738999,19040883.414060004,85173.198081561,6146851.9771722015,25272908.589313768
2018-02-01,2018,2,68359503.1042728,68362815.9900098,3312.885737,113671.6114281714,329433.1863092,1472848.4502818,-1143415.2639726,62011413.864181235,37637561.247430004,18580035.68290999,85393.9850378328,5708422.9488034,24373852.616751224
2018-03-01,2018,3,67259598.0964586,67259760.9804358,162.8839772000001,1842378.575905364,393546.5548228002,1564022.5891564002,-1170476.0343336,62787741.952850886,37518555.23965999,19558501.00919001,85423.68905208951,5625262.0149488,25269186.713190902
2018-04-01,2018,4,65871243.78634939,65871866.5127278,622.7263784,-1197339.702583637,769165.4855157994,2122589.1166491997,-1353423.6311334004,59020898.87290092,37332187.78932001,16469491.368559996,85114.58399610211,5134105.1310248,21688711.083580896
2018-05-01,2018,5,66944401.9421464,66945065.6323974,663.6902510000001,914263.0605327524,2914782.436913601,4270636.356999801,-1355853.9200861994,65508643.35864069,37431086.36036,20371303.36151,85061.7250218901,7621191.911748801,28077556.998280693
2018-06-01,2018,6,65322550.755152605,65322563.76651461,13.011362000000002,3694556.2179682143,2976493.3974940004,4335052.06802,-1358558.6705259997,67330894.36322916,37905236.96118,21721554.8551,83240.96018412731,7620861.5867650015,29425657.402049128
2018-07-01,2018,7,63499675.07586781,63500010.41331641,335.3374486,3158334.5308640525,2826890.7345672,4388841.7332964,-1561950.9987291999,65117567.74917784,37844753.26094,19886604.63402,83464.41156644441,7302745.442651401,27272814.488237847
2018-08-01,2018,8,62286150.22155121,62289847.26399541,3697.0424442,5154162.527395785,2929315.8765378,4492814.9580304,-1563499.0814926003,65921503.535326,37649231.88993,21177109.429679997,84944.9960991801,7010217.219616801,28272271.64539598
2018-09-01,2018,9,59883179.230224,59883189.812734395,10.5825104,6914151.025381174,3053217.949443399,4663742.370068,-1610524.4206246005,65524989.110837266,37808439.97767999,20528131.956960008,85259.6062832709,7103157.569914001,27716549.13315728
2018-10-01,2018,10,58353566.67438621,58353763.97580661,197.3014204,8795146.863106728,2948045.5795915993,4749427.8483502,-1801382.2687586008,65616330.07292918,38111983.351509996,20541878.285840005,95907.68503739299,6866560.750541801,27504346.7214192
2018-11-01,2018,11,59953529.80254819,59953544.255539194,14.452991,6106142.925482526,3042779.813802,4846780.5932314005,-1804000.7794294003,64501304.586068965,37852617.87028,19332779.852959998,94924.59699597298,7220982.265833002,26648686.71578897
2018-12-01,2018,12,61371620.4687082,61372133.2428694,512.7741612,16084795.381463334,447379.90072679985,5092915.034102,-4645535.1333752,72603536.37111376,42038444.13903999,22963116.78368,93890.81636396401,7508084.632029801,30565092.232073765
2019-01-01,2019,1,59843641.3336132,59845626.022714004,1984.6891008000005,13642538.24884145,548892.4204390002,5370021.221154599,-4821128.800715599,67914212.03716937,40441115.4012,20089705.81654,93546.459407345,7289844.360022,27473096.635969345
2019-02-01,2019,2,58137427.388579,58137430.9719,3.583321,14019484.893807355,649701.2713747993,5463989.6835811995,-4814288.4122064,66615415.947957255,39566129.55154999,19447682.523720004,93603.25356826499,7508000.619119002,27049286.39640727
2019-03-01,2019,3,54513197.025196,54513203.0709826,6.0457866,16522726.985160485,479168.78026740067,5312060.7371954005,-4832891.956928,65647184.0835991,39177736.07165,18753440.259620003,93692.41123969169,7622315.3410893995,26469448.011949092
2019-04-01,2019,4,57688867.4338004,57688875.0411288,7.6073284,14288030.154792566,3228483.6005125977,8104735.0533727985,-4876251.452860201,70538738.62722905,38783821.947859995,20588842.956040002,94699.0356956753,11071374.6876334,31754916.679369077
